fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2022-2023,Dec,02,ANDHRA PRADESH,0212,ANANTAPUR,8942528,213.679219637723,47,3966,17024.863617208,12427,0,49451,8942426,1729428,91859,339654,16715,2153.67956,38286.6492706888,187968,336516,248906,464635,2849,314948,980391,61878,19108.1060934808,5000025,55,43.38,75.07,100.25,NA
2022-2023,Dec,02,ANDHRA PRADESH,0219,BAPATLA,5799307,203.831130535252,36,2100,5387.851488731,8681,1,33237,5799307,2124222,135451,198550,13409,689.99138,17898.635890041,159262,277805,201148,373006,1005,252646,631560,41918,11820.79302131,3146093,22,69.38,79.45,107.29,NA
2022-2023,Dec,02,ANDHRA PRADESH,0220,PALNADU,6293098,185.379661089592,35,1951,8429.430588138,13830,35,26160,6292784,1567874,113908,473764,35286,747.81011,20842.7823504381,176694,309483,239358,432659,672,301371,838350,39990,11665.5416523001,3394377,18,67.04,75.6,109.52,NA
2022-2023,Oct,02,ANDHRA PRADESH,0204,EAST GODAVARI,3581949,217.834574693275,41,1890,5888.861974916,3385,9,23403,3581949,1404149,71808,65997,2857,692.45683,14384.042174796,86342,120678,119576,192381,707,182311,517693,26788,7802.72336988002,1944521,52,53.96,65.23,101.01,NA
2022-2023,Oct,02,ANDHRA PRADESH,0207,GUNTUR,2298330,207.601296173261,34,619,2200.682981583,8366,2,16703,2298327,1080901,67743,62938,4193,494.19559,7466.23521388302,65757,110991,80930,143604,121,130930,421071,25069,4771.35664230002,1320573,23,76.01,74.05,108.7,NA
2022-2023,Oct,02,ANDHRA PRADESH,0209,NELLORE,8153958,199.324617725434,44,1897,14709.794034032,8418,3,41570,8153935,2346166,128168,395939,23412,1207.77108,32170.3648823624,185171,281294,251202,434973,3473,336555,1037256,49988,16252.7997683304,5000960,29,48.28,71.77,101.25,NA
2022-2023,Oct,02,ANDHRA PRADESH,0213,KURNOOL,6393867,220.076326181012,37,2217,7626.222417719,4939,46,37170,6393867,1344252,101877,59658,6073,1315.67725,23013.2872622191,169795,303282,248938,487795,601,311195,963786,42109,14071.3875945001,3505968,46,47.33,79.19,100.26,NA
2022-2023,Oct,02,ANDHRA PRADESH,0221,NANDYAL,5448800,208.828694825833,36,1962,9354.958363173,4524,35,36362,5448800,1606389,110817,196331,12406,788.23121,21521.847496843,150241,259257,203688,390256,477,283455,905374,40886,11378.65792367,3293338,33,62.75,79.54,100.44,NA
2022-2023,Oct,02,ANDHRA PRADESH,0223,ANNAMAYYA,6312838,225.721871023246,48,1394,9378.045681702,8367,41,54182,6312556,1338120,65996,262707,12753,660.11408,24286.9792742922,130279,199302,188735,326170,2637,246857,757071,62549,14248.8195125902,3688377,64,49.91,72.95,100.16,NA
2022-2023,Feb,02,ANDHRA PRADESH,0201,SRIKAKULAM,17862720,175.844437142042,54,7054,15818.962706589,16621,22,60124,17862720,1715772,60972,1098503,38594,2504.02175,49733.583898848,326717,486539,379130,666062,17228,429198,768187,76745,31410.599442259,12786165,63,37.1,72.74,100.53,NA
